epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,4421.92,1.13217,0.95018,1.26469,0,0,0,0,5.92974,9.20535,5.55538,0.0051619,0.0051619,0.0051619
51,4488.77,1.10649,0.90207,1.23997,0,0,0,0,5.86101,9.32062,5.44631,0.005005,0.005005,0.005005
52,4554.97,1.23877,1.33945,1.32482,0,0,0,0,5.82902,9.40746,5.34559,0.0048481,0.0048481,0.0048481
53,4637.04,1.13583,0.93254,1.27138,0,0,0,0,5.80681,9.32031,5.27681,0.00469136,0.00469136,0.00469136
54,4738.42,1.06165,0.91021,1.21892,0,0,0,0,5.78685,9.33938,5.36248,0.00453493,0.00453493,0.00453493
55,4804.78,1.14314,0.94041,1.24731,0,0,0,0,5.73745,9.42045,5.22414,0.00437896,0.00437896,0.00437896
56,4877.14,1.0905,0.89768,1.24221,0,0,0,0,5.74654,9.45619,5.25384,0.00422361,0.00422361,0.00422361
57,4949.94,1.07508,0.93008,1.22127,0,0,0,0,5.75631,9.51176,5.27786,0.00406903,0.00406903,0.00406903
58,5024.68,1.14412,0.96674,1.28158,0,0,0,0,5.92937,9.73184,6.02852,0.00391537,0.00391537,0.00391537
59,5102.43,1.09021,0.90545,1.21251,0,0,0,0,5.92163,9.74736,5.93785,0.00376279,0.00376279,0.00376279
60,5238.52,1.05797,0.86038,1.19011,0,0,0,0,5.88384,9.57059,5.51764,0.00361144,0.00361144,0.00361144
61,5311.3,1.14245,0.93231,1.27096,0,0,0,0,5.90584,9.50949,5.3986,0.00346146,0.00346146,0.00346146
62,5384.07,1.10694,0.90935,1.24009,0,0,0,0,5.82203,9.3468,5.32494,0.003313,0.003313,0.003313
63,5462.07,1.06195,0.88092,1.22684,0,0,0,0,5.81837,9.24128,5.42676,0.00316622,0.00316622,0.00316622
64,5537.75,1.0332,0.89172,1.21103,0,0,0,0,5.76708,9.1149,5.49868,0.00302125,0.00302125,0.00302125
65,5607.84,0.95561,0.81706,1.14182,0,0,0,0,5.70272,8.97748,5.40773,0.00287823,0.00287823,0.00287823
66,5672.88,1.00221,0.82747,1.14971,0,0,0,0,5.62488,8.9835,5.23637,0.00273732,0.00273732,0.00273732
67,5739.8,1.10162,0.89798,1.21109,0,0,0,0,5.61494,8.98504,5.18016,0.00259864,0.00259864,0.00259864
68,5807.41,1.03321,0.87135,1.18786,0,0,0,0,5.62361,8.98163,5.22493,0.00246234,0.00246234,0.00246234
69,5928.87,1.02143,0.84668,1.19166,0,0,0,0,5.61883,9.03748,5.25212,0.00232855,0.00232855,0.00232855
70,6049.33,1.01638,0.84906,1.18535,0,0,0,0,5.60855,9.20704,5.21309,0.00219739,0.00219739,0.00219739
71,6170.89,1.06146,0.9185,1.22714,0,0,0,0,5.61731,9.30565,5.25213,0.00206901,0.00206901,0.00206901
72,6247.96,0.93975,0.77295,1.14134,0,0,0,0,5.61377,9.41466,5.31641,0.00194353,0.00194353,0.00194353
73,6314.59,1.00154,0.85763,1.19734,0,0,0,0,5.62524,9.45598,5.37483,0.00182107,0.00182107,0.00182107
74,6378.41,0.96341,0.79643,1.14013,0,0,0,0,5.6348,9.49101,5.41825,0.00170175,0.00170175,0.00170175
75,6443.14,0.95233,0.77436,1.15157,0,0,0,0,5.64319,9.45193,5.46,0.00158569,0.00158569,0.00158569
76,6507.49,1.03687,0.85033,1.2068,0,0,0,0,5.65643,9.40687,5.47768,0.001473,0.001473,0.001473
77,6601.27,1.00751,0.81266,1.17982,0,0,0,0,5.68582,9.35649,5.49098,0.0013638,0.0013638,0.0013638
